timestamp x y z roll pitch yaw
1403772869717912 8.553863 5.564319 40.922342 -0.016364 -0.068526 0.482815
1403772869780415 8.550422 5.564744 40.915445 -0.016525 -0.068339 0.482859
1403772869842914 8.545662 5.566083 40.904796 -0.016300 -0.068303 0.482791
1403772869905416 8.542302 5.566732 40.897878 -0.016464 -0.068127 0.482828
1403772869967916 8.538853 5.567254 40.890944 -0.016611 -0.067947 0.482868
1403772870030418 8.534936 5.566426 40.883355 -0.016752 -0.067866 0.482975
1403772870092919 8.531547 5.567016 40.876459 -0.016911 -0.067678 0.483011
1403772870155420 8.528090 5.567550 40.869585 -0.017071 -0.067490 0.483053
1403772870217921 8.523729 5.568229 40.863175 -0.017339 -0.067355 0.483007
1403772870280421 8.520342 5.568796 40.856269 -0.017503 -0.067177 0.483050
1403772870342923 8.516896 5.569358 40.849376 -0.017670 -0.066996 0.483088
1403772870405425 8.513266 5.570072 40.842420 -0.017839 -0.066835 0.483084
1403772870467924 8.509861 5.570635 40.835523 -0.017996 -0.066649 0.483121
1403772870530427 8.506483 5.571205 40.828610 -0.018166 -0.066465 0.483163
1403772870592928 8.503129 5.571952 40.821806 -0.018332 -0.066279 0.483199
1403772870655427 8.499693 5.572509 40.814903 -0.018509 -0.066104 0.483240
1403772870717929 8.496311 5.573088 40.807991 -0.018676 -0.065920 0.483281
1403772870780429 8.492869 5.573628 40.801094 -0.018831 -0.065727 0.483319
1403772870842931 8.489477 5.574204 40.794191 -0.018976 -0.065535 0.483357
1403772870905434 8.486074 5.574762 40.787284 -0.019126 -0.065346 0.483397
1403772870967937 8.482633 5.575271 40.780376 -0.019281 -0.065158 0.483441
1403772871030437 8.479203 5.575842 40.773466 -0.019451 -0.064976 0.483479
1403772871092939 8.475800 5.576429 40.766543 -0.019628 -0.064792 0.483519
1403772871155437 8.472402 5.576987 40.759626 -0.019802 -0.064609 0.483559
1403772871217953 8.468965 5.577544 40.752713 -0.019965 -0.064426 0.483598
1403772871280440 8.465520 5.578103 40.745798 -0.020130 -0.064245 0.483636
1403772871342942 8.462106 5.578635 40.738877 -0.020273 -0.064058 0.483677
1403772871405446 8.458624 5.579191 40.731981 -0.020434 -0.063872 0.483714
1403772871467946 8.455241 5.579766 40.725063 -0.020598 -0.063687 0.483754
1403772871530445 8.451801 5.580317 40.718156 -0.020765 -0.063505 0.483799
1403772871592946 8.448375 5.580888 40.711207 -0.020928 -0.063319 0.483843
1403772871655450 8.444916 5.581453 40.704274 -0.021091 -0.063141 0.483881
1403772871717952 8.441499 5.582042 40.697330 -0.021243 -0.062949 0.483921
1403772871780453 8.438066 5.582610 40.690392 -0.021399 -0.062759 0.483962
1403772871842952 8.434623 5.583186 40.683454 -0.021561 -0.062573 0.484004
1403772871905454 8.431234 5.583783 40.676498 -0.021711 -0.062382 0.484043
